{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9662406605199086), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.879435286195365)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7380531172303363), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.1994274815297663)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.46478332577353443), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.385072823678989)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.04879728070648498), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.145417763232945)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.006693031849394664), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.019945526229992)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002849454938259651), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0084914869544286)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.000551717447248941), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0016441346617992)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.0475936406034525e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.999999999999938)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.3304911954697792e-08), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000000396592734)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.228949084406463e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999296)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.2657151073001822e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999287)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8408020361273756), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.6827941704775768)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9867816494487378), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8013405485425966)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8954903153293415), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7272051635594274)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.12018140030198078), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0975962868927587)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.031082673197414794), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0252414425500278)}
