{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.11842073230244715), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.351871909137222)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0031446787906916807), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.009363800210074)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007058790861177326), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0021021719504528)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.522529154216426e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0001025288878815)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8527191187538237e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000429267178985)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.426602166528104e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000009908845433)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.404521328754675e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000044880516568)}
