{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9703169869611622), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.8103872582747105)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.010345264838478582), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.03082112837842)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0027079554481861164), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0079484071999294)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00046268806741456205), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0013618774504045)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00024319954322303395), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000718552363771)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.428255208638434e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000220705845477)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.7196781343020424e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000009068354793)}
