{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9450482311066517), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.816281004416381)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7953463862019364), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.3701637833064746)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.32387498044018986), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.9651601760204616)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.4302091099980883), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.2820401427552595)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.06020022974133817), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.1793989444079174)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0022569635089950244), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0067258606150333)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0012866420637173334), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0038342519594425)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00010300295810252629), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0003069559130386)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001264023118702107), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0003766874404136)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.0387349102382285e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000905568348293)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6918588705819486e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000050421633637)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9849939671733304), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.79988881068429)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8878153878406214), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7209725523296084)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9055875157942381), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7354048372658522)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.3644823382114295), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.295986883354669)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.11311766273315406), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.091859994642968)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.01172499346793113), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0095215659468681)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004471650961469665), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0036313045003156)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.000867735052780556), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.000704666024634)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0008402091082447224), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0006823086259298)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0003316224025299307), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0002693003074703)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.788558099951067e-05), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0000307669192414)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.866379875409901), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(17.1455372346733)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.757975832331348), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(15.125360463173013)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7883971435986185), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(15.692279919871224)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.33013696575363966), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(7.152310920514711)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004330687017488334), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.0807051474898957)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001152343427575727), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.002147480909719)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.407524629413015e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995856)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1280695785662113e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995841)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.9262815099276874e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995742)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.969261105700507e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995735)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.9335803443289464e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995729)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7274501393460386), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(5.62909619610773)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.606360412948358), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(4.858547333131976)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6904521522511878), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(5.3936615170189555)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.33620225963620687), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(3.139407869804786)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02384035759354256), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.15170717606845)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.34084031221415e-05), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0005944125955104)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.011930654862449e-05), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0003825679773957)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.7960552784807434e-05), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0001142954279)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.9245919444154896e-05), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0001224651682679)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8047157331854583e-06), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0000114849917834)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.235457575241884e-07), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0000007861301667)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.942344205146029), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(2.1112601956182098)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8180128108081465), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.9646422940141817)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8971092858301363), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(2.0579168762001703)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.2598506559202965), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.3064291077814267)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.05205277803077716), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.061383268145723)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.01639565195566053), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.019334592825492)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0063018443729175085), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0074314673683942)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0032080486409982577), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0037830882025955)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0016442187505878308), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0019389469660127)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0002014953447265417), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0002376140542817)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.304742696221822e-05), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.00008614181067)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8344898546139392), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(29.229617828530248)}
