{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4084548357770346), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.197251257512464)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5416220705265847), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.6140553419349426)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4135929116965782), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.21256315671288)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6883150222500596), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.051206281389835)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8900964442065826), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.652522890854064)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.38593341842128176), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.1500970096545653)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.032926345718975375), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0981218416525456)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0162571825401163), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.048447042977065)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004205926018785806), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0125338353834623)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0017664854217796424), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0052641898638157)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0002315936077243892), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0006901533676715)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.034892362841273), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8404101654424698)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7816704820749716), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.6347748846690104)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.3608369617883684), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(3.729251220252473)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.980036814937358), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(2.607937998421994)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.7913018035639314), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(2.4546711646724706)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.3574408946162395), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.290268643585615)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.12856038481570023), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.1044006682491867)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.01785248450322879), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0144975363280653)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004704045687971696), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0038200452659796)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005002766505169941), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0040626269833632)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007850505640477595), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0006375188262346)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4269666322837709), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(27.592423882231873)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8922264129075427), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(17.627200944659656)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0162561065688827), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(19.93857564520114)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4647034230191616), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(46.93130204488707)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8273902497208707), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(35.054566438862324)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.19425719020609844), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(4.620106163898291)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.07006372125773606), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(2.3056824358794037)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03601536684835845), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.671169619171419)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.009823191189212176), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.1830614635348535)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0022360086825836826), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.0416693556956753)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0002226115719108715), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.0041485065310545)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8943404065039964), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(13.054547355497233)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8521233819333817), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(6.42244639427475)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0150790644187764), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(7.459410067093769)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.632503380157176), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(11.388356153400165)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2750059470794328), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(9.113439386720016)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.3970739448188527), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(3.5267605096783354)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.05217064813648103), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.3319855269676468)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02404479000350145), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.1530080120093595)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005131787110782129), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0326560548933092)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0029644259584811514), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0188640158385545)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00022901544160041268), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0014573287131248)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8356856681252933), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.9854830497731084)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.49134609381319244), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.5794203756784837)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6270365313012186), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.7394333704466949)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.3845462297502327), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.4534765311921654)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7393241029702636), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.871848766584961)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.08864712724929928), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.104537206396713)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02166757186588773), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0255515207478163)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.008919676892599015), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0105185371188876)}
