{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8253503758953992), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.4595768010297463)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8187134372140404), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.439798468124728)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7056923089077825), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.102990898915589)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.43786138110088), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.3048440569718314)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.06971804729764014), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.207762521809047)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002167510201261635), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.006459281017824)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007279811075808771), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0021694251884445)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.008673604479761e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0002386605101112)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.432785401132744e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0001917019735587)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.076452473087998e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000320793317459)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9869198866440828), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.801452807547746)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8113653136985077), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.6588893350383649)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8690717975909583), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7057513490331677)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5362738709703545), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.4354945022435313)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.028672638527356308), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0232843235533124)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0012780248605336372), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.001037850139461)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0022664661453686073), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0018405355846358)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013836809453144823), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.001123650637052)}
