{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2444582629782206), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(4.708534909215229)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6247769789268693), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.8618600776635943)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6952539335657445), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.071884270535918)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.40115244443847087), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.195450099878792)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.24921478449601484), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.7426700006532474)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.10899715164868279), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.3248159113090634)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03291713805819471), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0980944220342612)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0060075841671827), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0179028721246999)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0035286532112253285), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0105155225614721)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0003910634475496243), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0011653908553872)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9202940199937465), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7473475981928022)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.232596145562272), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(4.4371845082680785)}
