{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9293192906144514), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.7694081414359952)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9457209713678417), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.8182857710815528)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.30051173266954406), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.8955366401896403)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.030715932317715237), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0915347253595034)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0021775347073870513), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0064891758283547)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0014501019810727555), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0043213517638085)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001043627142531932), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.003110049815856)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00017921786447278463), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0005340835129073)}
{'sample_size': 768, 'difference': -132, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4536610305690966e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999364)}
{'sample_size': 1536, 'difference': -264, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.190444278452292e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999326)}
{'sample_size': 3072, 'difference': -528, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4052735281237914e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999326)}
{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9902979856172208), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8041960714651981)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8381844537591226), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.6806684982841664)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5495396775313567), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.4462672452671885)}
