{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0071856642964570035, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0214135373314965, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.002676298502891324, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0079754911460475, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0032725410038607554, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0097522758517286, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.001697637123841857, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0050590140473068, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00033097786529579605, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.000986329055587, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0005629311872343266, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0016775642401166, 'gamma': 0.34628202113101003, 'normalized_gamma': 61.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.010428344757712087, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0280247676528529, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0033183980986659233, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.008917760547657, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0012714022222637155, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0034167194738095, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0015128419607909106, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0040655771686409, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00018238905219484505, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0004901368629906, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0001891852757092443, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0005084101883943, 'gamma': 0.380978896307745, 'normalized_gamma': 12.0}
