{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4724118023593287), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.38784599885499)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6007575059581607), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.770321196295481)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.7775646820544448), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(6.297213752822597)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2831811054599591), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(4.823931380471215)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.25905056442722146), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.7719810215639467)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.09966614420095873), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.297008933134337)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.04436660386694171), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.1322142752516209)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.023424201272375923), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0698050162705186)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0033557598035605903), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.010000266132831)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00100936797841993), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0030079681796507)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001087677171440972), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0003241385528223)}
