{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9690539330226796), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9705808677454419), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.8923692593186985)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9412402903593019), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.8049332009444496)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5104691724748411), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.521218275033907)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.268791217671708), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.8010086274518928)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.006088202154055949), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0181431123172278)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002106784527260008), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.006278275829052)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.778714422040213e-07), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000000828022254)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.9259211288501237e-08), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000000871367152)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.3353034736403266e-08), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000000696304483)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.1909002634919425e-14), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(0.9999999999999298)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9911064851524906), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8048526330847703)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9370918750951248), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.7609887411793674)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6923499731962102), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.562239985154608)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8184929361688241), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.6646775128562168)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.4844163311454412), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.3933822769634319)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02520439713164171), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0204678468633641)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.015434280059557128), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0125337830756058)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1382043354666315e-14), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(0.9999999999999872)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.4203777101388705e-14), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(0.9999999999999842)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4163593551430517e-14), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(0.9999999999999816)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.5015070015888774e-14), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(0.9999999999999812)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8775148629001606), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(17.353044801251617)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8753847328796194), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(17.313348415654634)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8650385414530378), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(17.12054076350999)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.609980929305197), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(12.367380916858993)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.09935340608408491), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(2.8515139469354427)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0015888560609083945), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.0296092547227798)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006992509189412023), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.013031001147752)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.186134637496298e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995831)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1177868257359545e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995777)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.0643282162539184e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995761)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.970616298184964e-14), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(0.9999999999995739)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8113377266125898), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(6.162911584821617)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8025603869910642), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(6.10705743803232)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7349727274996818), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(5.676966283210417)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.49690050060323554), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(4.162004388869522)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.199283533550673), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(2.2681322253172365)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0004932233928414096), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.003138606573904)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00018017428996928192), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0011465106831938)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.813620283893083e-14), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(0.9999999999994948)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.604477185584322e-14), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(0.9999999999994844)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.708349081116832e-14), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(0.9999999999994814)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.941382048238229e-14), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(0.9999999999994823)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9424610873919153), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(2.1113980289312604)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8032875127656538), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.947277485186232)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6408620674661123), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.7557370986446135)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5130358289794344), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.6049979340697904)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.28412051220370205), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.3350494456102244)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.054514482060121036), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0642862791708598)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005281206713522977), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.006227861107354)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0016219637533212963), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.00191270482829)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.112247044162505e-06), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.000004849568448)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.1229142002973876e-14), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(0.9999999999999885)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2687549292846179e-14), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(0.9999999999999878)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8418017352170643), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(29.47696841456377)}
