{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9690539330226796), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4084548357770346), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.197251257512464)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5253864774305508), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(5.5457122424143455)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.5849501952231), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(14.663334082276632)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.537904329533019), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(2.602976809281796)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6789870919296604), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.0234088952775324)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.12218049284807836), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.3641025927802048)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02849636407745762), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0849202987483304)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.009298905265611737), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0277111045599174)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.008012729743797563), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0238783152132975)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0010410687662830652), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.003102432169376)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9911064851524906), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8048526330847703)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2696162632906074), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(2.0310234037450265)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0589928967261106), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.8599815025140551)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.8665645447471846), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(4.139939788223835)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.5359116386014158), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(3.871424987265717)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.27913574343597264), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.2266790768557945)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.09980320052813503), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0810476470342358)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.09165386040906473), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.07442978293319)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.04497557903737564), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0365235051408768)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005469845926207832), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0044419254068782)}
