{'sample_size': 3, 'difference': 3, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7756390657359219), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.3114253177757997)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7756390657359219), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.3114253177757997)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7191632718895716), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.1430918758096067)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0731318539761583), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.217528501113437)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.051205704093815446), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.151719327682896)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.012203071920939732), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0363579006484)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004606652854183016), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0137215100670014)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0020205494095425647), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.006020521382847)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00021151655737967445), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000546940526355)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.656526435069014e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000090318386708)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4796664818774763e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.000044048353648)}
{'sample_size': 3, 'difference': 3, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5656013418617727), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(2.2713850061879968)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5656013418617727), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(2.2713850061879968)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5542630451170136), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.4501028930750952)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.21894114059407005), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.177614131212762)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.10655604120260906), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0858449707170714)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.05316924483515957), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0430424157255376)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03332582281034203), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.027022726501256)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007575308342728116), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0061360114626285)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007167252754243099), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0005693419268424)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00018191689675928641), 'shap_norm_sq': np.float64(0.0010578358721516612), 'weighted_error': np.float64(1.0001013575924123)}
