{'sample_size': 3, 'difference': 1, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 6, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 12, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(3.887818946256093)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.08013772034514993), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.2383277941292816)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.052192239972701046), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.1555152985024952)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0012780155666298038), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0037493237542916)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00031009096482961275), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0009171444436094)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00010337870983277384), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0002651639087836)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.3547938389412474e-05), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000268405016044)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.459542473906863e-06), 'shap_norm_sq': np.float64(0.005634020216394387), 'weighted_error': np.float64(1.0000031705688106)}
