{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9996132710750968), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6344566103290865)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.44797852876399963), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.7324848114925677)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.45582895649610206), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.7453208402481268)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.008145243492296443), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0133181777107316)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0012247873903061886), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.002002627741354)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0005527776661103733), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0009038402635293)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(8.011601666652947e-05), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.000130995382994)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514424958036e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.598751224831359e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987512334014074e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987512257417485e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9159345041259094), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.607684476050997)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9053319244152427), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.496469484101782)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.061228789948799385), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.64225888440061)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.006677877997538268), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0700477287460404)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.001859440652110931), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.01950465976631)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00049589561293779), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0052016875118743)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0001740672168185212), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0018258464434437)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7535791323847198e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7535790794284272e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.9999999999985169)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.753579092515542e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7535790376373254e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.7496364761719306), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(72.95985586804443)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.2221181100375052), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(22.321800222041922)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.5670166316674472), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(55.42964201310586)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.41532176004294785), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(40.86797738490805)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00044238006013774285), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0424645114664945)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00025439529805217005), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0244200484178234)}
