{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0012519536026147772), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0017271429936052)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0008376450256002325), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0005646615675872)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0012224224031920766), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0102950033116942)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0005746368129958189), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0031197159720795)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0004052957555191408), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0219685452979874)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.000533756529296556), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0189501324477375)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0005963849315288694), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.000981403862603)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0005477737302483451), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0009724999261695)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0005967450446515935), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.0011210467556408)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0006842203786661483), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.0016002752915254)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.001630071507617654), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0070676668456493)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(6.382430799011404e-07), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0000020028489283)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
