{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.2173838111059296), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.990530748310543)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.1078432004678158), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.8114221322398993)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.43787822772587287), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.715969565635349)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9843369910643214), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6094783915463866)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.10974308432905579), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.1794395886685427)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.25266746203466456), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.4131337997410776)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.022720339544887683), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0371497277926536)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.598751470273744e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514630454396e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514678520028e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999644)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514355957616e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(3.5296250707568984), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(38.023938752993104)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.9671579691953163), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(32.123953931657724)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.14339497286646), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(44.46206391770542)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(5.393174772754584), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(57.57160720876375)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7263570754560733), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(19.108588581409567)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.22451945998874823), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(3.3550932962068827)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.036714727994391225), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.3851183353274998)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7535791240339322e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.9999999999985173)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.753579131768327e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.753579128117812e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.753579122117852e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.9999999999985172)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.972510532922582), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(190.34709351953714)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.7618144579992293), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(74.12885993532622)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.082325576490354), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(200.88856412915965)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.8514743466273784), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(274.7213985889408)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(3.558702281000486), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(342.6102826969719)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.46653481205582675), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(45.784050570758986)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.105344976294447), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(11.112381242765482)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4467240226845082e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881937)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4467240237304946e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881934)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4467240247866216e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881936)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4467240282447863e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881937)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.0500214357741005), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(7.752934954980513)}
