{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9981908563310071), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6321308331109248)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.41519421947608093), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.6788794107680443)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.24753035712980168), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.4047342563030916)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0555757353092287), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.090871334796464)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00016998576614456488), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0002779430442768)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.450957593799667e-06), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000040072833254)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.598751471665316e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514954154403e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999644)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987515199292935e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9221547366795694), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.67293153724239)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9159345041259094), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.607684476050997)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.18345494701771273), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(2.924350183447277)}
