{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0801766634944912), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.7661848747303064)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0883411530972242), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.7795345144031356)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.7688669473862387), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.2571657686577553)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.5270949165232778), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.8618471215746895)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.027810194068774642), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0454721426047309)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0033641585018983054), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0055006860678344)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514356085657e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.598751495979978e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514960020546e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.914659897767137), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(31.5732804345043)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(3.517484077324385), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(37.89658400683618)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.042018569845083), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(43.398692759403)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4825507216691096), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(16.551191340902047)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.20401906379663814), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(3.140053460006729)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.011654358586650832), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.1222482729700285)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.75357912547642e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.9999999999985173)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.7535791376834831e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.753579121885423e-13), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(0.999999999998517)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.534733976848539), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(244.31660619255635)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.442039233857264), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(235.41849263646617)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(8.510788307518219), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(817.9756240153565)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9367702362617017), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(90.92328207925755)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.17952417387823513), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(18.23304286567323)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.03637069531502791), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(4.491332987830785)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.446724024745171e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881934)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.4467240206664493e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881936)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.446724020357291e-13), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(0.9999999999881936)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.9503864835147213), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(7.424728864928882)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.012467660460254), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(7.629229724100356)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(10.339889896736764), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(35.06042330888734)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.2021028126729494), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.959822320844821)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.21569968799824085), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.7105319619152497)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.025812377186947715), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0850280692028356)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.8418144206751144e-14), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(0.9999999999998613)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.841814408260153e-14), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(0.9999999999998613)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.841814419227233e-14), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(0.9999999999998613)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.8466745141143333), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(7.259463891384747)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.843214958792437), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(7.247737098385411)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.8744037890592377), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(3.963866834618533)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.32119589903766294), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(2.088720800327571)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.10465238276908698), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.3547286775791427)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.029599114442989374), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.1003288694527626)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.001576305706429e-14), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(0.999999999999789)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.001576302035564e-14), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(0.999999999999789)}
{'sample_size': 2048, 'difference': -1536, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.001576171571673e-14), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(0.999999999999789)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.7049718831100686), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(14.296676440602537)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9746830265050663), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.791194005271511)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(3.040188316629895), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(15.944478928705141)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.5878210983956478), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(3.8895194779677915)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.04685959609061369), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.2303448353447328)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.020267366919791217), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0996270280499478)}
{'sample_size': 512, 'difference': -128, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0395752109730365e-13), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(0.9999999999996583)}
{'sample_size': 1024, 'difference': -512, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0395752024766635e-13), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(0.9999999999996584)}
