{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9987886587158629), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.633108293279265)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.9990264020561672), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.633497025053466)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.31861214546534244), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.5209591481850055)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.2194792200840409), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.358867992853488)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.011314343762249962), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0184999624270974)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0014261768820071164), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0023319135786035)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0002346538058367287), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0003836847245544)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514801987593e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999644)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514928386236e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999644)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514939036246e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514751579087e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
