{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0391164289007666), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.699047764782925)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.2206208234345168), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.9958235527815056)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5880617588616674), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(5.231709787550114)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(5.887970143100701), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(10.627352055728188)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.3574667180043215), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.5844897448591497)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.06616249754522328), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.1081816097633765)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.007118352356645241), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.011639154621361)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514501610293e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999644)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514706396672e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514788252903e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999645)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.5987514652852015e-14), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(0.9999999999999643)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.9875233786458426), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(32.337578729742475)}
