{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(2.6329456541794376)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.03566498288589865), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0570739172717316)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0019218745721998678), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0020017795921894)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(9.79905116246088e-09), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000000123497135)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.93297813573547e-07), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000012929416378)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(7.93297813573547e-07), 'shap_norm_sq': np.float64(11.283093307712885), 'weighted_error': np.float64(1.0000012929416378)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(10.704878304306018)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.003953759940077475), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0379870010722296)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00113301262784162), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.0080194285599047)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.2213173657924186e-09), 'shap_norm_sq': np.float64(2.147740330243445), 'weighted_error': np.float64(1.000000032052033)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(77.28957184812339)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.00758810172658312), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.722993699609217)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0007716619036648194), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.045209782947194)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.1296288451320102e-06), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000406450061665)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.1296288451320102e-06), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000406450061665)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.714686785619119e-08), 'shap_norm_sq': np.float64(9.046694477882511), 'weighted_error': np.float64(1.0000004789497734)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(4.126018505985523)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0303962591882), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0990037714073717)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0010295627298856456), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.002558139021359)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.638215545789918e-09), 'shap_norm_sq': np.float64(5.241275549806219), 'weighted_error': np.float64(1.0000000079792468)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(4.217446152652161)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.03447206930754743), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.116487960962786)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.0006762371778351987), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.0018793482456485)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(2.762117621652116e-09), 'shap_norm_sq': np.float64(7.081453099528989), 'weighted_error': np.float64(1.000000004963282)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(5.800683155486168)}
{'sample_size': 64, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(0.015361218239695771), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0661976972233016)}
{'sample_size': 128, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.5873469737923342e-07), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.0000003911501045)}
{'sample_size': 256, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 512, 'difference': -256, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 1024, 'difference': -768, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2048, 'difference': -1792, 'noise': 0, 'n': 8, 'shap_error': np.float64(4.227111176567008e-09), 'shap_norm_sq': np.float64(1.780689615665855), 'weighted_error': np.float64(1.000000002794023)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(0.46679548340283034), 'weighted_error': np.float64(7.092445324975515)}
