{'sample_size': 505, 'difference': -43, 'noise': 0, 'n': 101, 'shap_error': 0.08923388310161305, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 1010, 'difference': 10, 'noise': 0, 'n': 101, 'shap_error': 0.030441571937176667, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 2020, 'difference': 14, 'noise': 0, 'n': 101, 'shap_error': 0.014425972582019568, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 4040, 'difference': 18, 'noise': 0, 'n': 101, 'shap_error': 0.006826684995502106, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 8080, 'difference': -92, 'noise': 0, 'n': 101, 'shap_error': 0.002858595372876637, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 16160, 'difference': -32, 'noise': 0, 'n': 101, 'shap_error': 0.0012532968226793637, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 505, 'difference': 31, 'noise': 0, 'n': 101, 'shap_error': 0.012765778625233794, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 1010, 'difference': -16, 'noise': 0, 'n': 101, 'shap_error': 0.006444117124393073, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 2020, 'difference': 8, 'noise': 0, 'n': 101, 'shap_error': 0.0024331070251130873, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 4040, 'difference': -50, 'noise': 0, 'n': 101, 'shap_error': 0.0011780632837363283, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 8080, 'difference': -124, 'noise': 0, 'n': 101, 'shap_error': 0.0006013425939877039, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 16160, 'difference': -78, 'noise': 0, 'n': 101, 'shap_error': 0.00027139168043546926, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 505, 'difference': 5, 'noise': 0, 'n': 101, 'shap_error': 0.027837713886939324, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 1010, 'difference': 2, 'noise': 0, 'n': 101, 'shap_error': 0.012651622237823791, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 2020, 'difference': -42, 'noise': 0, 'n': 101, 'shap_error': 0.004446311582879192, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 4040, 'difference': -18, 'noise': 0, 'n': 101, 'shap_error': 0.0024893135172127604, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 8080, 'difference': -50, 'noise': 0, 'n': 101, 'shap_error': 0.001284641995692709, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 16160, 'difference': -168, 'noise': 0, 'n': 101, 'shap_error': 0.0005517007739756813, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 505, 'difference': -9, 'noise': 0, 'n': 101, 'shap_error': 0.07940345363763632, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 1010, 'difference': 14, 'noise': 0, 'n': 101, 'shap_error': 0.021743920295489837, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 2020, 'difference': -36, 'noise': 0, 'n': 101, 'shap_error': 0.014374515906779904, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 4040, 'difference': -80, 'noise': 0, 'n': 101, 'shap_error': 0.0058052586847200565, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 8080, 'difference': 106, 'noise': 0, 'n': 101, 'shap_error': 0.0025740875584505394, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 16160, 'difference': 18, 'noise': 0, 'n': 101, 'shap_error': 0.001487564058516572, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 505, 'difference': 23, 'noise': 0, 'n': 101, 'shap_error': 0.018222450324952705, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 1010, 'difference': -2, 'noise': 0, 'n': 101, 'shap_error': 0.007664058365353089, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 2020, 'difference': -20, 'noise': 0, 'n': 101, 'shap_error': 0.003124104625718178, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 4040, 'difference': -2, 'noise': 0, 'n': 101, 'shap_error': 0.001231100666889724, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 8080, 'difference': -130, 'noise': 0, 'n': 101, 'shap_error': 0.0005576469969267835, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 16160, 'difference': -122, 'noise': 0, 'n': 101, 'shap_error': 0.00029952718306076875, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 505, 'difference': 7, 'noise': 0, 'n': 101, 'shap_error': 0.058249097146768035, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 1010, 'difference': 4, 'noise': 0, 'n': 101, 'shap_error': 0.016703956482974076, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 2020, 'difference': -34, 'noise': 0, 'n': 101, 'shap_error': 0.008338063973575975, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 4040, 'difference': 34, 'noise': 0, 'n': 101, 'shap_error': 0.004890410530432614, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 8080, 'difference': -58, 'noise': 0, 'n': 101, 'shap_error': 0.0020488027803606925, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 16160, 'difference': 94, 'noise': 0, 'n': 101, 'shap_error': 0.000903101103483198, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 505, 'difference': -7, 'noise': 0, 'n': 101, 'shap_error': 0.051091063850751406, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 1010, 'difference': 4, 'noise': 0, 'n': 101, 'shap_error': 0.018424708936155422, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 2020, 'difference': -12, 'noise': 0, 'n': 101, 'shap_error': 0.00735954238102607, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 4040, 'difference': -82, 'noise': 0, 'n': 101, 'shap_error': 0.0035116711017030406, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 8080, 'difference': -56, 'noise': 0, 'n': 101, 'shap_error': 0.0025530960333261838, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 16160, 'difference': -84, 'noise': 0, 'n': 101, 'shap_error': 0.0011678148088601571, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 505, 'difference': 9, 'noise': 0, 'n': 101, 'shap_error': 0.010870569920676846, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 1010, 'difference': 2, 'noise': 0, 'n': 101, 'shap_error': 0.004455239390668737, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 2020, 'difference': 52, 'noise': 0, 'n': 101, 'shap_error': 0.0023961211316569832, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 4040, 'difference': -34, 'noise': 0, 'n': 101, 'shap_error': 0.0011063816341399095, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 8080, 'difference': -100, 'noise': 0, 'n': 101, 'shap_error': 0.0004596937500252697, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 16160, 'difference': -10, 'noise': 0, 'n': 101, 'shap_error': 0.00022128327621351657, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 505, 'difference': -33, 'noise': 0, 'n': 101, 'shap_error': 0.004518838501996629, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 1010, 'difference': -2, 'noise': 0, 'n': 101, 'shap_error': 0.0013246863689114997, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 2020, 'difference': -50, 'noise': 0, 'n': 101, 'shap_error': 0.0006509340702764081, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 4040, 'difference': -8, 'noise': 0, 'n': 101, 'shap_error': 0.00035239308544878184, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 8080, 'difference': -174, 'noise': 0, 'n': 101, 'shap_error': 0.00016747169996321934, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 16160, 'difference': -36, 'noise': 0, 'n': 101, 'shap_error': 8.095202077780537e-05, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 505, 'difference': -33, 'noise': 0, 'n': 101, 'shap_error': 0.04974912383412386, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 1010, 'difference': -34, 'noise': 0, 'n': 101, 'shap_error': 0.017110359132749976, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 2020, 'difference': -78, 'noise': 0, 'n': 101, 'shap_error': 0.005202420040600734, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 4040, 'difference': 28, 'noise': 0, 'n': 101, 'shap_error': 0.0032602358731857223, 'shap_norm_sq': 57989.40208692046}
