{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.8408335464396869), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.6462530946542534), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.6455620351350747), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.33386267800812996), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.13609746011023868), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 808, 'difference': 360, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.046093194985895085), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 1616, 'difference': 528, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.02142762909593728), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 3232, 'difference': 1056, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.003866635170617504), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 6464, 'difference': 2112, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0002381572027366275), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 12928, 'difference': 4224, 'noise': 0, 'n': 101, 'shap_error': np.float64(2.854628422870214e-13), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25856, 'difference': 8448, 'noise': 0, 'n': 101, 'shap_error': np.float64(2.9498461333463423e-13), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.872001182245081), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.7612130436845491), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.43527534070348856), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0909097849346191), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.009045271560715025), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 808, 'difference': 360, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0018988136218305784), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 1616, 'difference': 528, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0005713112900896278), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 3232, 'difference': 1056, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0534060015798479e-12), 'shap_norm_sq': np.float64(32547.05651205273)}
