{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.135087499393338, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.05790228765618227, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.005222385140974417, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.020022803318314696, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.005622103100749056, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.004468671015734745, 'shap_norm_sq': 59126.951380871506}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.009875512461894607, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.008918320632737706, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.007206860315784944, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0032558685811331064, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.00171462169622249, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.00011107471598881481, 'shap_norm_sq': 56114.82307307525}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.021687541310152242, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.016955696438594726, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.014025973459415393, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.00850076938399308, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.003056980525814372, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0019147756732433244, 'shap_norm_sq': 123732.80055088935}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.15238667054185812, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.03855582547801974, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.020700346717849254, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.009647362501439258, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.005130087353583188, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0026092524242969347, 'shap_norm_sq': 75323.89170692668}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.05438372054912787, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.013566006648664405, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.008586077862634538, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0022161303999456987, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0010999058819002481, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0003143581540251824, 'shap_norm_sq': 64521.39943917334}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.09364005442688582, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.06592548994281003, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.02044253358646343, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.004743513707164994, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0021831440171431074, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0025217472029254247, 'shap_norm_sq': 55014.228611529696}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.1137229745927821, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.012494887567100389, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.021901509517448875, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.013157496976471736, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.002377706611087695, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0012546155816472416, 'shap_norm_sq': 59108.491020566165}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.009017991047951441, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.009993120448957303, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006056380350099578, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.004100143853920116, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0002016550671396141, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0009277724164526923, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.003283100793088868, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.002388589605369389, 'shap_norm_sq': 42515.97581372667}
