{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(37.10701884031207), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(53.669658220122535), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(108.84927407075773), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(32.96996420575632), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(29.22061597351251), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(5.552724157005871), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(2.898991503257624), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.1537448312546006), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.6434845705826575), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.2649058165149776), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.15946136242759168), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(97.09321596103594), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(190.6569772284636), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(422.2131296229372), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(116.48134559620952), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(85.40777147970626), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(24.467473035038747), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(9.681060940933355), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(4.281343964327066), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(2.1677551504020607), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.7010879648480755), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.5184045356323355), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(21.998832850973137), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(52.884650791665216), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(98.73127676030299), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(37.92796944286557), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(21.180396360072145), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(6.0926829712333035), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(2.4209579392929506), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.9428939279610518), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.3591661581447508), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.2021711835510464), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.10228553975527468), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(45.28352373066368), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(57.175391958303486), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(141.45793596358254), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(45.56733514530929), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(29.573206997219483), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(12.078506849914454), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(4.981829852410183), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.629478571783765), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.9575206950391975), 'shap_norm_sq': np.float64(243411.55279098428)}
