{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(13.235327154812389), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 50, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(30.39390874235061), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(68.0398157535071), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 202, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(115.17216106312203), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(37.88550755708608), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(27.806281706464627), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(7.575530355753026), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(3.5997198410004696), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.2527017677235128), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.614650774829707), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.28072245181646627), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(34.56771104644483), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 50, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(96.51397704007026), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(152.006816802563), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 202, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(308.24871972483345), 'shap_norm_sq': np.float64(32547.05651205273)}
