{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.7643006824285329), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.4108131293085064), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.18560505032045785), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.10308338212012129), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.03267572519027977), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.02382141210711571), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.010964252053499301), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.006168907064553773), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.002931333129949219), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.002058799279197484), 'shap_norm_sq': np.float64(59126.951380871506)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.3640260740830563), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.10293720224955849), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0903572106025421), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.03342064107318137), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.01004157634008202), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.004603153012023265), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.001129614387945239), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.001045078701104786), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.00028383178156234697), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0002751596881686706), 'shap_norm_sq': np.float64(32547.05651205273)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.385881620873267), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.14038774022896783), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0875264416673595), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.04429657530473105), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.02191650431030671), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.010419392386102514), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.005448704617327305), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.004404885369250464), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0012160914957773201), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0008244725511330792), 'shap_norm_sq': np.float64(67467.7345671967)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.7096087012641062), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.3573693856846944), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.22830550918120288), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.09927271592681701), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.03214014572451842), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.012135181819730924), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.006355983954634488), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.005483049931668829), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.004298924108662783), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0013654454468166478), 'shap_norm_sq': np.float64(243411.55279098428)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.885786568658538), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.507853536964566), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.19364780558820696), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.08214167425728514), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.024887507825517952), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.009651755034384233), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.006778232787897258), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0033763531738786176), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 12928, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.0022208370009025747), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 25856, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.002056623629650415), 'shap_norm_sq': np.float64(52068.182918001534)}
{'sample_size': 25, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.8566415718541867), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 101, 'difference': 1, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.6020948753558247), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 202, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.22399700771870532), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 404, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.1412903699758614), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 808, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.04450795575384258), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 1616, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.017318130486548598), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 3232, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.006535229351430192), 'shap_norm_sq': np.float64(17368.81335676906)}
{'sample_size': 6464, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(0.005927709645663172), 'shap_norm_sq': np.float64(17368.81335676906)}
