{'sample_size': 300, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 0.01809730187677488, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 600, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.004953462935801658, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 1200, 'difference': -90, 'noise': 0, 'n': 60, 'shap_error': 0.0014490218192431544, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 2400, 'difference': 66, 'noise': 0, 'n': 60, 'shap_error': 0.0007121954621471127, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 4800, 'difference': 110, 'noise': 0, 'n': 60, 'shap_error': 0.0004908754220888712, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 9600, 'difference': 238, 'noise': 0, 'n': 60, 'shap_error': 0.00016312600254717824, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 300, 'difference': 56, 'noise': 0, 'n': 60, 'shap_error': 0.021873607914641307, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 600, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.009276738704623281, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 1200, 'difference': 28, 'noise': 0, 'n': 60, 'shap_error': 0.0044411809475934025, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 2400, 'difference': -26, 'noise': 0, 'n': 60, 'shap_error': 0.0025758951955886667, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 4800, 'difference': 264, 'noise': 0, 'n': 60, 'shap_error': 0.0006149964648651721, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 9600, 'difference': 314, 'noise': 0, 'n': 60, 'shap_error': 0.0004640671522575336, 'shap_norm_sq': 6.49069985278087}
{'sample_size': 300, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 0.021884752077112445, 'shap_norm_sq': 4.33959584084788}
{'sample_size': 600, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 0.012524000498271765, 'shap_norm_sq': 4.33959584084788}
{'sample_size': 1200, 'difference': -46, 'noise': 0, 'n': 60, 'shap_error': 0.003979749330811129, 'shap_norm_sq': 4.33959584084788}
{'sample_size': 2400, 'difference': 52, 'noise': 0, 'n': 60, 'shap_error': 0.002096525803214314, 'shap_norm_sq': 4.33959584084788}
