{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8687936867599997), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.6800897897739091), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.5332332924471581), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.10266983821038637), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.013519586583105302), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 480, 'difference': 360, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.004312816505154149), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 960, 'difference': 528, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.00011447380233788468), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 1920, 'difference': 1056, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.8312781680856142e-14), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 3840, 'difference': 2112, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.9058414381654242e-14), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 7680, 'difference': 4224, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.9938071273847552e-14), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15360, 'difference': 8448, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.7736093553198474e-14), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8422477631011781), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8096623762403905), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.6715328780655078), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.07316507001913033), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.001237607007718202), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 480, 'difference': 360, 'noise': 0, 'n': 60, 'shap_error': np.float64(8.159190201351565e-05), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 960, 'difference': 528, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.5118829283840266e-05), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 1920, 'difference': 1056, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.2608478748838991e-14), 'shap_norm_sq': np.float64(2.0152143393841495)}
