{'sample_size': 240, 'difference': -119, 'noise': 0, 'n': 60, 'shap_error': 0.030080678785410857, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.009967683673738523, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 0.0009783826217956086, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 0.0008723518923891613, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0013534008877671303, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 7680, 'difference': -57, 'noise': 0, 'n': 60, 'shap_error': 0.0008607678119418982, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 9600, 'difference': -41, 'noise': 0, 'n': 60, 'shap_error': 0.0003155869446041483, 'shap_norm_sq': 3.4714386616135187}
{'sample_size': 240, 'difference': -119, 'noise': 0, 'n': 60, 'shap_error': 0.0006616703282929394, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.00020608300733703045, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 9.331408070803846e-05, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 0.00010077350587104693, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 1.134338584556859e-05, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 7680, 'difference': -57, 'noise': 0, 'n': 60, 'shap_error': 5.488654947905989e-06, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 9600, 'difference': -41, 'noise': 0, 'n': 60, 'shap_error': 7.277719007221436e-06, 'shap_norm_sq': 2.0152143393841495}
{'sample_size': 240, 'difference': -119, 'noise': 0, 'n': 60, 'shap_error': 0.023820177700564125, 'shap_norm_sq': 5.172210376119464}
{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.015551805469625042, 'shap_norm_sq': 5.172210376119464}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 0.0024063609861625476, 'shap_norm_sq': 5.172210376119464}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 0.0022669784147051446, 'shap_norm_sq': 5.172210376119464}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0012717755239792382, 'shap_norm_sq': 5.172210376119464}
