{'sample_size': 15, 'difference': -7, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.7478083120037884), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 30, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.1086696522920803), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.275632455014027), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(19.94718461800562), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.898291079306803), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.1660556924182086), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.0128246658243807), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.27604212061692446), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.13272581565565025), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.06309781693347423), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.021628138920065414), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15, 'difference': -7, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.5776175695110175), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 30, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.622705670480787), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.1261914238592836), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(9.685250197265733), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(4.570250742251015), 'shap_norm_sq': np.float64(2.0152143393841495)}
