{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.0162301168535917), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8437944653372883), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7759317627280694), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.5361256369236768), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.2369222690280117), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.11153197332087321), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.04064174219282116), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.008090359318622004), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0020882950281066494), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0005668496132232173), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0001802617390657842), 'shap_norm_sq': np.float64(3.4714386616135187)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.492751808668146), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.4416116966355736), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.348522912190029), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.4344667985544652), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.10297769807357082), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.07109350384573007), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.019624822905378394), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.005044694481181283), 'shap_norm_sq': np.float64(2.0152143393841495)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0011457022113468072), 'shap_norm_sq': np.float64(2.0152143393841495)}
