{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3644609212310098), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(5.758161523225124)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.49947961744379105), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(7.5208760021505565)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.33383017007573307), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(5.358263772425701)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.03415399430486881), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.4458904611182042)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.005258489139946841), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0686503384871116)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0012080583076466906), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0157720231591136)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00028563657856562735), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0037290447828915)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.171406193004105e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000413974302036)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.293933321453643e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916299)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893766526187e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.54089338938715e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9525040295003719), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.414925923057389)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5410223675196824), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.93967823533417)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3404085223253431), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.2204354098668744)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.15892922934097536), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.5697940378335131)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.5685239336241783e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0001996442372558)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2068051259539377e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000043261784666)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.306368926660836e-06), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000154397673453)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5541577668086485e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990785)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5645141466958685e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990762)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5780868173103575e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990759)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.578086824362855e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990759)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8441623125844245), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.8295640075165385)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.785541914220226), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.7025149489914524)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.7104441285516524), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.539754675932462)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.09854462691566956), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.213577113345512)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.002616637899064398), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0056711177935915)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0011317673091911801), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0024529277157057)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.761176874769203e-05), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0001248678747539)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5875415572907206e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996615)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5401655136166214e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996612)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5697206546283733e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996603)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.144580784361451e-06), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0000111479658758)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.35309916358266813), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(6.125626063983804)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.625842729299876), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(10.08480217428254)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6806689255549715), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(10.880665543744993)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.15470585281672972), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(3.2457262992718126)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.007048841365451635), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(1.10232174806598)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0014660859534016987), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(1.0212817595946824)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.687508130691644e-06), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(1.0001261070431584)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.7817348403078982e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997476)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.8495155592238882e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997421)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.9926353213603443e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997408)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.992635346165961e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997409)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8385205764903031), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.7503298405465009)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9485047504782459), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.8487467333063068)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.4361297478196393), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.3902601395108554)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.028753975975286682), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.025729851375763)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.007505917444890377), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.0067164337087098)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0010587393244204698), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.0009473848879125)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0009536558359322951), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(1.0008533387038874)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.900267835762293e-13), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(0.9999999999994051)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(7.011337217618127e-13), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(0.9999999999994021)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.943823887356821e-13), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(0.9999999999994023)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.943823893312089e-13), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(0.9999999999994021)}
