{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.04358221224669235), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.3991800834082557)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0008668695632380363), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0111199550773915)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0037691159075370112), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0299426886324448)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.7767372333230095e-05), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0001792880171265)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2891176005890254e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000096482870031)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.108954233440013e-07), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000013952657514)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.108954233440013e-07), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000013952657514)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.14107233620230786), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.5047709655047419)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2737575664343272e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000035690907168)}
