{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487945)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5654092369845095), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(6.871615472758017)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0022172270702516717), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0230566845608067)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0003125750497165635), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0040042565406062)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00014692763064898804), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.00166754587506)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.423669371239923e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000302292574963)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.108954233440013e-07), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000013952657514)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.108954233440013e-07), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000013952657514)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8707869883055973), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.075573309159924)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.008529043931182156), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.03057745592611)}
