{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5927434437837287), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.73846665521088)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.591068770312037), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.716602619736554)}
{'sample_size': 20, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.4270643919969716), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(6.57547090560448)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.23709839538158958), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(4.095402179993929)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.004922741064998635), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.064267742932897)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0006925755677508473), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0090417709027661)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.034151964922875e-05), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0010487415859088)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.1419384116924442e-05), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0001490974915237)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.426120270142704e-07), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000044738928726)}
{'sample_size': 2560, 'difference': -896, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893577776375e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9566581788495225), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.42981942151636)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.45524040885916855), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.632132632470885)}
{'sample_size': 20, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.36827948914693825), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.320358553056731)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.23064888806486208), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.826924529231675)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.2687671472651422), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.963585933619742)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.881080143646745e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000174988658542)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.283174929849656e-06), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000081837610844)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.888922528114422e-07), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000017515177753)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2580446021928282e-08), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000000045173665)}
{'sample_size': 2560, 'difference': -896, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.578086821373161e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990757)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.7857109321190608), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.70288126200787)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8524365743353873), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.8474969231796994)}
