{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.03191285424358), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(145.02508016107114)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.946105920001425), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(130.84956041825066)}
{'sample_size': 20, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(14.01122799288717), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(183.92101541719825)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(203.64999551902878), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(2659.714986540798)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.236507288513759), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(82.41957377289154)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2208080157844787), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(16.93803876074074)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3402659287632601), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(5.442281438337188)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.10293864996380774), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(2.3438939919774815)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.001840169612223689), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0240238765876335)}
{'sample_size': 2560, 'difference': -896, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.54089344894407e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.237223506539495), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(41.28780547644524)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.821152407156337), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(43.381302725411935)}
{'sample_size': 20, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.2184535141613), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(41.220514509733874)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(83.97742683357568), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(302.0767005627845)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.783433650432457), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(25.320033345543173)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8787471745720885), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.150491356609417)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5057967457380611), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.8133881000920606)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.09706871320244587), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.3480120988630333)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.002541465062526499), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.009111664223995)}
