{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005945959804327176, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0776270327938964, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0006564180017300169, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0085699927108471, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0004413672820629081, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0057623592455842, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.51225266033902e-05, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0004585095607643, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 9.439809160626252e-05, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0012324347666288, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.647992362446114e-05, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0006068460594402, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01495772666910815, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0100287486904802, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.007336261140816248, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0049187769801806, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0030469403028059844, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0020429063181209, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0007445340906756015, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0004991953509068, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0018656033237490334, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0012508677188783, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00045749503749242505, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.00030673987413, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002417850480356965, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0017925669476262, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
