{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5481196068916823), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.155888097883407)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5704078744391442), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.446867665081024)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.4747214920109001), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(7.197650351013784)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.015031936911724882), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.1962466873990278)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0019851829628028594), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0259178191822693)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.001831830699852503), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.023915347332575)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00038566963168886435), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0050351204544572)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.087769541580917e-05), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0010558390598516)}
{'sample_size': 640, 'difference': 384, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.630414769448158e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000474091558815)}
{'sample_size': 1280, 'difference': 512, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893547681157e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2560, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893537907786e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9525040295003724), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.41492592305739)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8978676262680876), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.219042542833044)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.28429208108745824), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.0192463238238245)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.18431017228906976), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.660790181658807)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(7.36751022427101e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0002641378105723)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.067063237368974e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000382589797758)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.1291670294564483e-06), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000076352597158)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5611098787245783e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990768)}
{'sample_size': 640, 'difference': 384, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5358869099083343e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990776)}
{'sample_size': 1280, 'difference': 512, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.578086866477824e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990757)}
{'sample_size': 2560, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5780868593613113e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990757)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8515562879080035), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.8455891090190386)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8576080159014754), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.858705106567589)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.32507840204707134), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.7045468459006874)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.018435177985953392), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0399548954227544)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.002341200918012601), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0050741419535698)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0008232927763551933), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0017843574185208)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00010588104647233398), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0002294820895814)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00015898339281068707), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0003445582831423)}
{'sample_size': 640, 'difference': 384, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5219516889369664e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996604)}
