{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005193404542656905, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0678015786217925, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0022537645715921878, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0294235962602691, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005892950605350782, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0076936729892776, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 7.958657101966137e-05, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0010390486709244, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 2.317383412910844e-05, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0003025799859908, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 9.540893463196374e-13, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 0.9999999999916247, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.04829289979877195, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0323792727140135, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.014161129134974396, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.009494674254403, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.007993749349574896, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0053596257716522, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0013749643476068697, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0009218841037482, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005360544060186307, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.000359415255943, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 6.495152275771074e-13, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 0.9999999999995814, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.03943955192061388, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0292397783094753, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.015152755954547636, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0112339183693853, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0028458135954122785, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0021097981962315, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.004054003545609236, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0030055337104704, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00038800511721908787, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0002876543180488, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 6.348433334939722e-13, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 0.9999999999995822, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.04744213814406933, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.01535544339814, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.04851638486862195, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0157031673226713, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.013676955393340073, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0044267588116311, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005425457522464681, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0017560273271635, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0024972170661946183, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0008082761881085, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 4.552252121027292e-13, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 0.9999999999998673, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.007663203196905481, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.1216527776444072, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00040869172060864825, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.006487917870225, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00012237971836123507, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0019428259983056, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 7.84479149840012e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.001245338302909, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 3.691359887707206e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.000586007384079, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 1.80870575863542e-13, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 0.9999999999983423, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 1.394658384658063, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.2196017011489995, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.1049151842873206, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0165198768312873, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0482229423722165, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0075931270790621, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0042609568070049375, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0006709311518847, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0034295027435223033, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.000540015225936, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 8.250603272127252e-13, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 0.999999999999874, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.03303218792496381, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.066675462976733, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0049481010959633405, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.009987839861109, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.002171380627634071, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0043828867042417, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00031950510319180567, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0006449278300797, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00018078434563078747, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000364943228466, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 6.083703810301596e-13, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 0.9999999999987813, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.02036559584359958, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0136090872605779, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0433654298195322, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0289787869270595, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.006716436957321543, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0044881928227711, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005081461809125942, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0033955789591562, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005111496825550057, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0003415822902855, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 1.2865917661318103e-12, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 0.999999999999173, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.01427418313299407, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0515982783917566, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.008981548790641813, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0324666325641192, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
