{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.008575647764686663, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.1119584198553836, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.006406132743370007, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0836338292515093, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.00036888411405355673, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0048160894150016, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.000750028324126448, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0097918457338606, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0018282976748897816, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0238697662938185, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0001737045167084704, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.002267726264089, 'gamma': 0.12603468029283071, 'normalized_gamma': 1.5e-05}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.008929996506803572, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0059873755847841, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.01926801841448229, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0129187465192513, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.006108024902193471, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0040952942553265, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0006966746560691779, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0004670920210585, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0018211366058333077, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0012210344680574, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0012906194005403576, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0008653235530347, 'gamma': 1.4958859492263226, 'normalized_gamma': 0.0014}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.0023049380924104845, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0017088340115177, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.0005051494406684751, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0003745031213704, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.00038079211601651554, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0002823122221625, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 8.04105373621177e-05, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0000596089718017, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.00028235529590979827, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0002093351155754, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0003316407627453341, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0002458714336044, 'gamma': 2.9973636917383883, 'normalized_gamma': 0.0012}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.023396082520604423, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0075725825408048, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.008247368730917484, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.002669405742515, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.005271775553878753, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.001706279677754, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.00042411917047027275, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.0001372764750929, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0012195577844092045, 'shap_norm_sq': 1728.1391696764142, 'weighted_error': 1.000394734217226, 'gamma': 3.2629896479879745, 'normalized_gamma': 0.0019}
