{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.052905687693151), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(145.29920574763017)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(10.080039784745273), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(132.59812329279998)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(33.20974607877538), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(434.56377888077685)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(27.384497718480592), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(358.51326504077645)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(12.240238720302356), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(160.80014447601113)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.7964092785851208), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(11.397376836421431)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.40421579424050197), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(6.277165507446173)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.1222458572674565), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(2.5959567173927955)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.012582246816927633), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.164266209475383)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.54089348326924e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893494481024e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9525040295003719), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.414925923057389)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(12.195283242114588), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(44.72264037542342)}
