{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6077466500132888), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487943)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6077466500132888), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487943)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5695475259721833), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.435635340577797)}
{'sample_size': 20, 'difference': -10, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.40045524270741156), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(6.228080824307444)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.030517814037336336), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.3984219666564424)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00320197195389393), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.041803177252766)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0006675549134244129), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0087152127086436)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.00027307179826200777), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0035649286297008)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.309161140733572e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0001085021787874)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.339450759042243e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000305485961145)}
{'sample_size': 2560, 'difference': -512, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893523178924e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9572536198876676), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9572536198876676), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8449080103435509), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.029171150517061)}
{'sample_size': 20, 'difference': -10, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.22067507837427103), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.7911656511524672)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.004376768652745746), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0156916198556571)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.27393108027009e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000224925677553)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.3474574459818566e-05), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000483163504943)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5637895614106372e-06), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000056053437434)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.453443347075132e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990777)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.537001945288394e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990763)}
{'sample_size': 2560, 'difference': -512, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5780868182676106e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990757)}
