{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6077466500132888), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487943)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6077466500132888), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(8.934338270487943)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(33.05672903817091), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(432.5660237387807)}
{'sample_size': 20, 'difference': -10, 'noise': 0, 'n': 10, 'shap_error': np.float64(18.886667263085982), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(247.57141362593592)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(18.94296016112655), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(248.30633792270996)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.620544498856536), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(74.37797728453597)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.1074108110948708), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(15.457587182235526)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.7533694503703715), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(10.835480011288487)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.08774544455773152), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(2.1455432193115236)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.022191767931894823), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.2897205360367978)}
{'sample_size': 2560, 'difference': -512, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893491272367e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9572536198876676), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9572536198876676), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.431954200339358)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(15.85205212142831), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(57.83293970686979)}
{'sample_size': 20, 'difference': -10, 'noise': 0, 'n': 10, 'shap_error': np.float64(488.7971341284456), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1753.4402311125207)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(68.95122333138741), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(248.20461507130804)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.854014243152261), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(18.40265623114343)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.9847311864625423), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(11.70088983369214)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3931111927976845), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.4093856012903894)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3992611895794758), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.4314359097254195)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.05750250751874399), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.2061578870965541)}
{'sample_size': 2560, 'difference': -512, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.5780868540590826e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990759)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8601522236802173), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.864219195416899)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8601522236802173), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.864219195416899)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(22.906071520378216), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(50.6446530505853)}
{'sample_size': 20, 'difference': -10, 'noise': 0, 'n': 10, 'shap_error': np.float64(30.885968663093344), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(67.93959585637185)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(22.993647531159716), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(50.83445599171618)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.08132022838614), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(18.5147585583303)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6357548568086451), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.377879716715497)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.634000653824422), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.374077898649458)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.09444121022197646), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.2046835279707364)}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.033609754911297224), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0728429826173669)}
{'sample_size': 2560, 'difference': -512, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.5697206698067543e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996603)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9079776805611524), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(14.180305223769894)}
{'sample_size': 5, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9079776805611524), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(14.180305223769894)}
{'sample_size': 10, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.366874244299433), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(136.9705574153261)}
