{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.626481553901139), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(48.34487591962389)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.626481553901139), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(48.34487591962389)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.2060911497891755), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(42.85654755412781)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.8805161625090923), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(25.55073953429319)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.015865553579522566), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.2071253134201625)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0022518865533275203), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0293957698466827)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0005780532028488644), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0075361521335322)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.8741321098018866e-05), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0007666011646492)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.374742160555398e-06), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000146676627952)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.7623786642241747e-08), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000005193657298)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(5.7623786642241747e-08), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.0000005193657298)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.869568206041287), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.117582914423767)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.869568206041287), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.117582914423767)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9315140439252392), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(4.3396712584465105)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.4419405529997287), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(2.5844481070591097)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.07328204589248824), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.2627317373619464)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.012148931006057632), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.043556497260744)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0005678087942664514), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.002035524043594)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(7.249092402938474e-06), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.000025974701819)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.416663353968895e-09), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.00000002275281)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.3145610518388897e-10), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000000012133545)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.3145610518388897e-10), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.0000000012133545)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2865136023146198), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(3.7882799015561086)}
{'sample_size': 5, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2865136023146198), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(3.7882799015561086)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.6858112552879031), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.48636925787774)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.397104211883454), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.8606500027404957)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.006710094557369712), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0145423471385828)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.006721549330142502), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0145672530721677)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0004522532993106946), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.000979855863541)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.168404498784468e-05), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0000679577057905)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.217073865951971e-06), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0000046322240979)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.294943105908101e-07), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0000002795420417)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.294943105908101e-07), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0000002795420417)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.0933753330728053), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(16.871558083402086)}
