{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6854705148788227), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(493.765278409788)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6812018257946111), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(490.6966025664659)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6812018257946111), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(490.6966025664659)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.0006171006126493635), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.4436155502555428)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330607125e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865613)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330608341e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865605)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.58942533060848e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865618)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330607125e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865613)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330607125e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865613)}
{'sample_size': 512, 'difference': -496, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330607588e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865616)}
{'sample_size': 1024, 'difference': -1008, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330608341e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865605)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6826553004576753), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(517.0581066219256)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6826553004576753), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(517.0581066219256)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6846411688659113), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(518.5593683170338)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(3.4857877677747694e-05), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0263527698869588)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.600376889203314e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005748493339963)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.600376889201076e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005748493339959)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.600376889205315e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005748493339965)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.600376889201409e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005748493339957)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.600376889205315e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005748493339965)}
