{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.000694449806209883), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.4992187754412887)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6617378365236278), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(476.70452624602376)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9944504786500405), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(715.8820397763063)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215266916e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730551)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215251965e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730542)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.58033421524823e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730542)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.4943300177978256), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(356.3594232756853)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.5059325851723825), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(364.70012233688624)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.5272801535979816), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(380.0463143183193)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215282774e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730565)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215221256e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.000545222673052)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.58033421524934e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730542)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215245753e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730542)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215255916e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730551)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.580334215241639e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005452226730533)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9973489014618039), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(754.952841765991)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9978531927527977), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(755.3340596549318)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.4977173691630131), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(377.25260337693294)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.594759103061836e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910808)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.59475910305989e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910806)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.594759103080262e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910821)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.594759103055654e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910808)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.594759103087718e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910826)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.59475910309823e-07), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0005744244910832)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.45010845301250046), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(2.753930415716602)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(23444040.686701737), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(91381999.99224132)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(23446489.21061692), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(91391547.966333)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.412878484885215e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786716)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.412878854321269e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786716)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.41287877733839e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786705)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.412878411493917e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786718)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.412878997670261e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786703)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.412878262151525e-07), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0000016434786716)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.49453360351794157), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(355.7550079308523)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9998360794426537), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(718.2354688929277)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.0007056554795799527), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.5062020503298406)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.581374495709411e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.0005440892927766)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.581374495741032e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.0005440892927804)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.581374495725018e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.0005440892927788)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.581374495747756e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.0005440892927808)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.581374495747124e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.0005440892927813)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.58137449578793e-07), 'shap_norm_sq': np.float64(1.0434404463512417), 'weighted_error': np.float64(1.000544089292785)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.20439693657442348), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.316260080496092)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.4846228590173302), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.749847350965975)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.744744653897396), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(9.888739213156455)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.991155521994934e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058025)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.991155521976877e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058027)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.991155521973315e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058025)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.991155522026437e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058025)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.9911555220277e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058025)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(9.991155521972238e-07), 'shap_norm_sq': np.float64(0.6021120534884185), 'weighted_error': np.float64(1.0000015458058025)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.34458093676267304), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.7933150874716604)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.468927851385531), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(18.195424124131154)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.5819995850871228), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(2.339915438757436)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.08329887190921e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711586)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.083298871881951e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711584)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.083298871897909e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711584)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.083298871887792e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711586)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.083298871884296e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711582)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.083298871885587e-07), 'shap_norm_sq': np.float64(0.6492111728177692), 'weighted_error': np.float64(1.0000014005711584)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(25155.75451262736), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(134216.9082522221)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7025310740070382), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(4.7480084515933845)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(25155.75451262736), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(134216.9082522221)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440192591448e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.0000053496211545)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440192648295e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.000005349621154)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440192293718e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.0000053496211543)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440191880582e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.0000053496211543)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440192285957e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.0000053496211545)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0520440191783351e-06), 'shap_norm_sq': np.float64(7.91974461574407e-05), 'weighted_error': np.float64(1.0000053496211543)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(411167.54266673775), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(121062.51823190995)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(413147.78744805447), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(121645.58967214049)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(411874.10688659677), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(121270.5458552763)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.067064830662452e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636919)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0670648245107522e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636919)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.067064825668451e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636916)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0670648244765604e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636919)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0670648284350067e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636916)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0670648290420282e-06), 'shap_norm_sq': np.float64(4.85652070122231e-06), 'weighted_error': np.float64(1.0000002646636916)}
{'sample_size': 1, 'difference': 3, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.6599902963609872), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(3784.0980289739728)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.500673823245351), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(2870.8881318985673)}
{'sample_size': 4, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9998169642640611), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(5731.999563408328)}
{'sample_size': 32, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078367707e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804733018)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078363798e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804732996)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078449967e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804733487)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078355545e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804732945)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078371438e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804733038)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.427619078376005e-07), 'shap_norm_sq': np.float64(0.9782784240542208), 'weighted_error': np.float64(1.0042605804733071)}
{'sample_size': 256, 'difference': -224, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0087930549981904e-06), 'shap_norm_sq': np.float64(0.0037543035429983447), 'weighted_error': np.float64(1.0000010605820147)}
{'sample_size': 512, 'difference': -480, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.0087930550105418e-06), 'shap_norm_sq': np.float64(0.0037543035429983447), 'weighted_error': np.float64(1.0000010605820147)}
{'sample_size': 1024, 'difference': -992, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.008793055000975e-06), 'shap_norm_sq': np.float64(0.0037543035429983447), 'weighted_error': np.float64(1.0000010605820144)}
