{'sample_size': 1, 'difference': 5, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.0001740587938882139), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.1251303264644965)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.0006145724943731017), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.441799820481089)}
{'sample_size': 4, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(4.0948434453175904e-05), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.029436771535549)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.00025027339022696746), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.1799189455902315)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264776461637e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579591)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264772147895e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579595)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264775598888e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579593)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264776461637e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579591)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264776004435e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579593)}
{'sample_size': 512, 'difference': -496, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.214726477605609e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579596)}
{'sample_size': 1024, 'difference': -1008, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.2147264772147895e-13), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(0.9999999999579595)}
{'sample_size': 1, 'difference': 5, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.897297607469597e-06), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0052144721943628)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.5269689862092051), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(399.3659303570295)}
{'sample_size': 4, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(6.897297607469597e-06), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(1.0052144721943628)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.49657958575296396), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(376.39285938259354)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980598495919e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.9999999999603953)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980610698436e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.9999999999603949)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980598495919e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.9999999999603953)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980596551342e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.9999999999603951)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980597567542e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.9999999999603951)}
{'sample_size': 512, 'difference': -496, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980623478045e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.999999999960396)}
{'sample_size': 1024, 'difference': -1008, 'noise': 0, 'n': 4, 'shap_error': np.float64(1.1889980627379752e-13), 'shap_norm_sq': np.float64(1.0467461888530534), 'weighted_error': np.float64(0.999999999960396)}
{'sample_size': 1, 'difference': 5, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.06413771386990047), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.2500136347460058)}
{'sample_size': 2, 'difference': 4, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.15130554805830979), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.5893775406282624)}
{'sample_size': 4, 'difference': 2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.023435626469784292), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0912216848599547)}
{'sample_size': 8, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(2.7552803824954498e-05), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(1.0001034679661835)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.162088896243834e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.999999892681001)}
{'sample_size': 32, 'difference': -16, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.1620888964029764e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.999999892681001)}
{'sample_size': 64, 'difference': -48, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.162088896592252e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.999999892681001)}
{'sample_size': 128, 'difference': -112, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.16208889674104e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.9999998926810012)}
{'sample_size': 256, 'difference': -240, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.162088897916478e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.999999892681001)}
{'sample_size': 512, 'difference': -496, 'noise': 0, 'n': 4, 'shap_error': np.float64(5.162088897909002e-08), 'shap_norm_sq': np.float64(8.501325828159748e-08), 'weighted_error': np.float64(0.999999892681001)}
