{'sample_size': 1, 'difference': 1, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 4, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 16, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.4720142809724039), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(340.3176770569553)}
{'sample_size': 32, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330613586e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865616)}
{'sample_size': 64, 'difference': -32, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.589425330611266e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865618)}
{'sample_size': 128, 'difference': -96, 'noise': 0, 'n': 4, 'shap_error': np.float64(7.58942533060716e-07), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(1.0005458764865611)}
{'sample_size': 1, 'difference': 1, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 2, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 4, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.7609013544456769), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(547.9903503685504)}
{'sample_size': 8, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.9992225904531027), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(719.3124583968478)}
{'sample_size': 16, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': np.float64(0.5598351147581574), 'shap_norm_sq': np.float64(1.0434100620858613), 'weighted_error': np.float64(403.4492276136137)}
