{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.9769824815122887), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8679994688170071), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7556365335459825), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.11757572719026732), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.009463375587011609), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.002061730247647826), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.7555469603781605e-05), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.2618880216101747e-06), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.3971469480711533e-07), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.3060505655903507e-13), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(8.465825644394738e-10), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7860016719710993), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7654508090036517), 'shap_norm_sq': np.float64(7.30816156108838)}
