{'sample_size': 30, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': np.float64(4.721622189644048), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 60, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': np.float64(7.851075786175297), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(17.971129703240678), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(5.3615788471752674), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.541702163289941), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.9729866840136857), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.27001432643286444), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.1386394680705287), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0786783981362759), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.026710771851478344), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 30, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.5394515414083236), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 60, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.3488411760475674), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(5.514341310177051), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.2328998770357584), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8167439013796314), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.21970966348158585), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.11666683610940827), 'shap_norm_sq': np.float64(7.30816156108838)}
