{'sample_size': 300, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 0.0032589579183868555, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 600, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 0.0016345921685172807, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 1200, 'difference': -116, 'noise': 0, 'n': 60, 'shap_error': 0.0011546872011718703, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 2400, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 0.00032702407097968207, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 4800, 'difference': 94, 'noise': 0, 'n': 60, 'shap_error': 0.00017120729544580065, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 9600, 'difference': 172, 'noise': 0, 'n': 60, 'shap_error': 6.334711602520321e-05, 'shap_norm_sq': 6.4401568336026145}
{'sample_size': 300, 'difference': 62, 'noise': 0, 'n': 60, 'shap_error': 0.00995646247576055, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 600, 'difference': -44, 'noise': 0, 'n': 60, 'shap_error': 0.00638062403563995, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 1200, 'difference': -44, 'noise': 0, 'n': 60, 'shap_error': 0.002820799430430109, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 2400, 'difference': -150, 'noise': 0, 'n': 60, 'shap_error': 0.0012478640033855358, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 4800, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 0.0006270194976726877, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 9600, 'difference': 182, 'noise': 0, 'n': 60, 'shap_error': 0.0002583962586414995, 'shap_norm_sq': 9.991839420948057}
{'sample_size': 300, 'difference': -32, 'noise': 0, 'n': 60, 'shap_error': 0.01184995445281894, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 600, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 0.005995392394605154, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 1200, 'difference': -4, 'noise': 0, 'n': 60, 'shap_error': 0.0022308696220734213, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 2400, 'difference': -92, 'noise': 0, 'n': 60, 'shap_error': 0.0009639494047816884, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 4800, 'difference': 138, 'noise': 0, 'n': 60, 'shap_error': 0.0005361148427597596, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 9600, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 0.00017131219659879935, 'shap_norm_sq': 10.406857728269195}
{'sample_size': 300, 'difference': -14, 'noise': 0, 'n': 60, 'shap_error': 0.013388298719517562, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 600, 'difference': 40, 'noise': 0, 'n': 60, 'shap_error': 0.0032292613406124738, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 1200, 'difference': 60, 'noise': 0, 'n': 60, 'shap_error': 0.0019374171139733484, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 2400, 'difference': 48, 'noise': 0, 'n': 60, 'shap_error': 0.0013343578349387702, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 4800, 'difference': -118, 'noise': 0, 'n': 60, 'shap_error': 0.00044432033234158963, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 9600, 'difference': 144, 'noise': 0, 'n': 60, 'shap_error': 0.0002249827362738399, 'shap_norm_sq': 12.858538271866172}
{'sample_size': 300, 'difference': 8, 'noise': 0, 'n': 60, 'shap_error': 0.003334248339648641, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 600, 'difference': -46, 'noise': 0, 'n': 60, 'shap_error': 0.0014962025459774881, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 1200, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 0.0009632083165846815, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 2400, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 0.0003257618731002233, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 4800, 'difference': 60, 'noise': 0, 'n': 60, 'shap_error': 0.00017963853786070715, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 9600, 'difference': 64, 'noise': 0, 'n': 60, 'shap_error': 7.555582406995526e-05, 'shap_norm_sq': 4.564768191572814}
{'sample_size': 300, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 0.003907596003609, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 600, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 0.0011139622129417357, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 1200, 'difference': -4, 'noise': 0, 'n': 60, 'shap_error': 0.0006288361619280949, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 2400, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.00034054992590415954, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 4800, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 0.0001885267790343241, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 9600, 'difference': -14, 'noise': 0, 'n': 60, 'shap_error': 9.320232078932726e-05, 'shap_norm_sq': 12.249329358092892}
{'sample_size': 300, 'difference': -4, 'noise': 0, 'n': 60, 'shap_error': 0.0038048067722773657, 'shap_norm_sq': 10.752576794460168}
{'sample_size': 600, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.0015673203676870777, 'shap_norm_sq': 10.752576794460168}
{'sample_size': 1200, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 0.0005939816557628436, 'shap_norm_sq': 10.752576794460168}
{'sample_size': 2400, 'difference': -224, 'noise': 0, 'n': 60, 'shap_error': 0.00025533961115016134, 'shap_norm_sq': 10.752576794460168}
{'sample_size': 4800, 'difference': -112, 'noise': 0, 'n': 60, 'shap_error': 0.0001715172377493642, 'shap_norm_sq': 10.752576794460168}
