{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8573099026359385), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.5988567233037195), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.3160400291500659), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.05256474336339387), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.046878007022950065), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0016643509364899682), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.5136296182600698e-05), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.160200664389411e-06), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(6.42945322591296e-07), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.6184238474119574e-07), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.0248314843303267e-09), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8070287906457158), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7665986642022803), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.5319059397104409), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.11847189331313937), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.04432429202944261), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.002400077944112799), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(9.037763858562153e-07), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.728496655082502e-07), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.573153537985892e-07), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.3250252533198123e-14), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.2745542614448895e-14), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8634748359075524), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.8945614897224868), 'shap_norm_sq': np.float64(18.429012267428185)}
