{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.1731719106135823), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(6.2981714014214365), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(27.25375723514665), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(9.0214689204988), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(7.662738998467403), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.4067541848115301), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.6237293536902485), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.24459142097388845), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.09188251086745326), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.057224158922555265), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.019929506584000566), 'shap_norm_sq': np.float64(6.4401568336026145)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.334587965189678), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.175099416312841), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(11.114601677949059), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.6047627291352717), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.7003239819127676), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.4815091481154727), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.19177885530786154), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0944576006561194), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.03368954713843144), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.01707684389093513), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.00890275177350567), 'shap_norm_sq': np.float64(7.30816156108838)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.608639885765427), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7143801760570518), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.3187433244419804), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7974084416586417), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.3357457630867699), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.09242537329153268), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.022731130574118574), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.012539340627544056), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0036451548068426455), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0023078240472674864), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.00078084855640964), 'shap_norm_sq': np.float64(18.429012267428185)}
{'sample_size': 15, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.8306450778539838), 'shap_norm_sq': np.float64(8.601804550580265)}
{'sample_size': 30, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(5.171076772469328), 'shap_norm_sq': np.float64(8.601804550580265)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(22.405121345788956), 'shap_norm_sq': np.float64(8.601804550580265)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(7.905417861637192), 'shap_norm_sq': np.float64(8.601804550580265)}
