{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.04478785522871763, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.019536002173239767, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005906699881066332, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004729492439703026, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0020166591714781286, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.000694431544320092, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.22294077145390134, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0985269971760608, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.057113288109720925, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.029306816532416378, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.014582582770566652, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.006109095307228096, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.07087963194094328, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.03259500958294348, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.014686384089366523, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005699847575506372, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0034162895031198373, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0015197315169952917, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.029313316388297532, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.01277660788301126, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.008128464953573887, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.003371968395106213, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0016347830123702284, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005796101310275204, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.022355325392724806, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00970903278119441, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005034336255408533, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.002770799481572035, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001153582318805183, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004745413773842272, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.03698501330426645, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.02740559926030752, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.006459892885827744, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005169793896639255, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0023124185999709385, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0009823685042075817, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.08044463333984356, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.032517957266837406, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0157067047698742, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.008985130416872968, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.003736903837912523, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0021927939360794446, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.08060394860374787, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.03996794635080871, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.019233839876057545, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.011038736595418186, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0034790565665146957, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0019095890173227007, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0048460875312131635, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001869749301483603, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0014090827340854993, 'shap_norm_sq': 18.37896431333642}
