{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0349690258373991), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5477038826816317), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 158, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8582485497748318), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 316, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.43550002938323107), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.11087263927304919), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05057307452596882), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.027096724846829658), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.009141479261505409), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.005126668027379475), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0017700068319935792), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(38.306615840476866), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(66.60301835703518), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 158, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(208.2624317064318), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 316, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(113.0499675657946), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(26.876372447793845), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(16.96814656171848), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.574256044715213), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.525168429001398), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.88273483564075), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5213178992362286), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(16.469786049369244), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(19.82872835417934), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 158, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(90.07406470572234), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 316, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(27.030738669271322), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.1490604525104136), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.205569278486616), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.4794998199267955), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.725190256324748), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.34237576536461356), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1589872404206932), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.1541062445007135), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.037227878980154), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 158, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(10.51574484992174), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 316, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.3283790644132396), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.06142788743161), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.3955705414842858), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.14467803669210122), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.09586318381299314), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04352962106900444), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.020451616305332418), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.53912362925834), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(5.0193451994821014), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 158, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(17.73662017439477), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 316, 'difference': 2, 'noise': 0, 'n': 79, 'shap_error': np.float64(9.240930008379088), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.438300641649427), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.2109391895908537), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.4834853606392986), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.23796061988478626), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12669415776114176), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.07236997810971195), 'shap_norm_sq': np.float64(42.1429054046902)}
