{'sample_size': 395, 'difference': -3, 'noise': 0, 'n': 79, 'shap_error': 0.01391649191230268, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 790, 'difference': -32, 'noise': 0, 'n': 79, 'shap_error': 0.003644432683420933, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 1580, 'difference': -12, 'noise': 0, 'n': 79, 'shap_error': 0.001795504053150344, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 3160, 'difference': -42, 'noise': 0, 'n': 79, 'shap_error': 0.0006735072472319605, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 6320, 'difference': 76, 'noise': 0, 'n': 79, 'shap_error': 0.00037025606064948556, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 12640, 'difference': -94, 'noise': 0, 'n': 79, 'shap_error': 0.0002385164820635743, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 395, 'difference': 9, 'noise': 0, 'n': 79, 'shap_error': 0.011437051455331722, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 790, 'difference': -24, 'noise': 0, 'n': 79, 'shap_error': 0.003732997890556166, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 1580, 'difference': -46, 'noise': 0, 'n': 79, 'shap_error': 0.0020937635161687868, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 3160, 'difference': 104, 'noise': 0, 'n': 79, 'shap_error': 0.0007586792548789297, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 6320, 'difference': 86, 'noise': 0, 'n': 79, 'shap_error': 0.00037855859959268765, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 12640, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 0.00014461212811630342, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 395, 'difference': -21, 'noise': 0, 'n': 79, 'shap_error': 0.0036038160744706785, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 790, 'difference': -12, 'noise': 0, 'n': 79, 'shap_error': 0.0008721101979808349, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 1580, 'difference': -16, 'noise': 0, 'n': 79, 'shap_error': 0.0007780518901092323, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 3160, 'difference': 116, 'noise': 0, 'n': 79, 'shap_error': 0.0001890200931291102, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 6320, 'difference': -110, 'noise': 0, 'n': 79, 'shap_error': 8.634696897249358e-05, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 12640, 'difference': -170, 'noise': 0, 'n': 79, 'shap_error': 7.60238101659649e-05, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 395, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': 0.00806616003819621, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 790, 'difference': 18, 'noise': 0, 'n': 79, 'shap_error': 0.003328667099982802, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 1580, 'difference': -42, 'noise': 0, 'n': 79, 'shap_error': 0.001457293891907628, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 3160, 'difference': 32, 'noise': 0, 'n': 79, 'shap_error': 0.000876483413205361, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 6320, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 0.00038603724332956, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 12640, 'difference': -92, 'noise': 0, 'n': 79, 'shap_error': 0.00015056120086547403, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 395, 'difference': -17, 'noise': 0, 'n': 79, 'shap_error': 2.0252682671518945e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 790, 'difference': -16, 'noise': 0, 'n': 79, 'shap_error': 1.7340656019190288e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 1580, 'difference': 12, 'noise': 0, 'n': 79, 'shap_error': 1.7201983399766013e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 3160, 'difference': -82, 'noise': 0, 'n': 79, 'shap_error': 1.703869886750496e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 6320, 'difference': 46, 'noise': 0, 'n': 79, 'shap_error': 1.7143373912973048e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 12640, 'difference': -86, 'noise': 0, 'n': 79, 'shap_error': 1.7194753759956228e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 395, 'difference': 7, 'noise': 0, 'n': 79, 'shap_error': 0.006855707530393653, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 790, 'difference': 34, 'noise': 0, 'n': 79, 'shap_error': 0.0023234767833596784, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 1580, 'difference': 6, 'noise': 0, 'n': 79, 'shap_error': 0.0012676246780091514, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 3160, 'difference': -124, 'noise': 0, 'n': 79, 'shap_error': 0.0005408418894341444, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 6320, 'difference': 56, 'noise': 0, 'n': 79, 'shap_error': 0.00022640046520594224, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 12640, 'difference': -16, 'noise': 0, 'n': 79, 'shap_error': 0.00012992396444435792, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 395, 'difference': 7, 'noise': 0, 'n': 79, 'shap_error': 0.005128545125158636, 'shap_norm_sq': 12.049401362360555}
