{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.013692668082731395, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.003762540088152867, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.002113748631767849, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0007252438074611683, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004138194089720155, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0002044468737638036, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.00816297618029606, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005823235109555738, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0015823560836503005, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008186458259227987, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004425083466381783, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00022055766694169292, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0038837415660704145, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0012274819816809575, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004831609220571167, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0003244420042370677, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00011487333328803585, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 7.399212405392e-05, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.006429794417503899, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004315616304931193, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001748414006604914, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008174907217618135, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00031794976293183326, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00020317104872587366, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 1.8144796287568243e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.8539788741371618e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.761557081158938e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.8243694707242279e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.7135358975389685e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.7495880058957854e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.007449324720951786, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.003109541517381226, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0013426393932042921, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0006018874415481833, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00030206147017500056, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00016932982882732865, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0026457557670636765, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001853114868246725, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.000599330874045945, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00029107401076208697, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00016447604107874264, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 7.104321901390095e-05, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.010075323418898052, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0019207735287876465, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001081495545672944, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004707341583855536, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00024122820221914178, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00012824679113057215, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 1.3475293137718922e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.0710729945460443e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.0086927584370094e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.381232850663475e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.379496443952555e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.306947877169708e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.022934649394800093, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.007460906798405802, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0045454552552426555, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0016448735604976362, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0010119002836519017, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00040013954497988797, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0003602739494996859, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00014231272140644683, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 7.734656043119283e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.307770505014806e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.9699994389416202e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 7.636976709307824e-06, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.00841451917462078, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.003130206024129941, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0011212202627688098, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004561191678273895, 'shap_norm_sq': 47.34563643628872}
