{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8667835876271944), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7207139321831504), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5927003074290862), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.17478350997459863), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0159874296228085), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 632, 'difference': -92, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.07782019572695732), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 1264, 'difference': -378, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.009729227923326863), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 2528, 'difference': -758, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.4551286966413765e-14), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 5056, 'difference': -1518, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.691073408808704e-14), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 10112, 'difference': -3036, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.421076024992704e-14), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 20224, 'difference': -6074, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.201759203088097e-14), 'shap_norm_sq': np.float64(177.40026454680412)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9408898116701051), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7370442467463605), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6320637668977226), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.10567088942525439), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.009349973524675313), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 632, 'difference': -92, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05821812355764258), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 1264, 'difference': -378, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0036795377573535246), 'shap_norm_sq': np.float64(13.454757873538506)}
{'sample_size': 2528, 'difference': -758, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.2050004791892823e-12), 'shap_norm_sq': np.float64(13.454757873538506)}
