{'sample_size': 395, 'difference': -121, 'noise': 0, 'n': 79, 'shap_error': 0.012987827271014567, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 790, 'difference': -105, 'noise': 0, 'n': 79, 'shap_error': 0.004933549501830297, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 1580, 'difference': -73, 'noise': 0, 'n': 79, 'shap_error': 0.0044727303424745846, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 3160, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': 0.0012594999242370852, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 6320, 'difference': -18, 'noise': 0, 'n': 79, 'shap_error': 0.0003492683202677336, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 12640, 'difference': -36, 'noise': 0, 'n': 79, 'shap_error': 0.00034206169667171105, 'shap_norm_sq': 176.5920909062474}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.008044663124427089, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0043525557345819145, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.005380755276699239, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.001177047751607837, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.00030953791285599883, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 0.00017756499283432662, 'shap_norm_sq': 20.084252463209726}
{'sample_size': 395, 'difference': -97, 'noise': 0, 'n': 79, 'shap_error': 0.005295656796411995, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 790, 'difference': -45, 'noise': 0, 'n': 79, 'shap_error': 0.003159165823654041, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 1580, 'difference': -90, 'noise': 0, 'n': 79, 'shap_error': 0.0013088052503733834, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 3160, 'difference': -31, 'noise': 0, 'n': 79, 'shap_error': 0.0007029679436875072, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 6320, 'difference': -62, 'noise': 0, 'n': 79, 'shap_error': 0.00023292267055251048, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 12640, 'difference': -124, 'noise': 0, 'n': 79, 'shap_error': 7.413530601159706e-05, 'shap_norm_sq': 148.00477053999788}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.008994089892596853, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.011591734782872745, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.0012531514590107978, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.0012700751704723904, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.0011524618468688325, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 0.00036052726250706337, 'shap_norm_sq': 15.97553400192092}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 1.9498824407840838e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 1.5990306258103758e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 1.7978434341486463e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 1.4956549323531373e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 1.6409999727064156e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 1.7756614352625735e-13, 'shap_norm_sq': 60.68441020144731}
{'sample_size': 395, 'difference': -97, 'noise': 0, 'n': 79, 'shap_error': 0.012049231370899213, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 790, 'difference': -45, 'noise': 0, 'n': 79, 'shap_error': 0.004678980908345773, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 1580, 'difference': -90, 'noise': 0, 'n': 79, 'shap_error': 0.0015656120049531447, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 3160, 'difference': -31, 'noise': 0, 'n': 79, 'shap_error': 0.0002548045114459729, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 6320, 'difference': -62, 'noise': 0, 'n': 79, 'shap_error': 0.00026365975593746347, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 12640, 'difference': -124, 'noise': 0, 'n': 79, 'shap_error': 1.811119168436826e-05, 'shap_norm_sq': 136.26130924077654}
{'sample_size': 395, 'difference': -77, 'noise': 0, 'n': 79, 'shap_error': 0.008906311285094157, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0010657667717712397, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 1580, 'difference': -149, 'noise': 0, 'n': 79, 'shap_error': 0.0016737575913274144, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 3160, 'difference': -139, 'noise': 0, 'n': 79, 'shap_error': 0.0006981116972288379, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 6320, 'difference': -119, 'noise': 0, 'n': 79, 'shap_error': 0.00023604464425616679, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 12640, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': 0.00012717147555693002, 'shap_norm_sq': 12.049401362360555}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.0048275262285963185, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0015373980415842568, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.0022883520840456407, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.00033234556547686385, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.00011741536258589517, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 0.00024050955184170623, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -121, 'noise': 0, 'n': 79, 'shap_error': 1.5750811947746024e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': -105, 'noise': 0, 'n': 79, 'shap_error': 7.58405858670817e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': -73, 'noise': 0, 'n': 79, 'shap_error': 7.675097073095254e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 3160, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': 1.116654845027936e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 6320, 'difference': -18, 'noise': 0, 'n': 79, 'shap_error': 9.326568185589162e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 12640, 'difference': -36, 'noise': 0, 'n': 79, 'shap_error': 9.78161099905234e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 395, 'difference': -101, 'noise': 0, 'n': 79, 'shap_error': 0.03061406555848081, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 790, 'difference': -55, 'noise': 0, 'n': 79, 'shap_error': 0.006619121222593258, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 1580, 'difference': -110, 'noise': 0, 'n': 79, 'shap_error': 0.0077879684469782835, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 3160, 'difference': -73, 'noise': 0, 'n': 79, 'shap_error': 0.0017619977750423655, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 6320, 'difference': -146, 'noise': 0, 'n': 79, 'shap_error': 0.0021794496267447793, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 12640, 'difference': -145, 'noise': 0, 'n': 79, 'shap_error': 0.0009189054702149148, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 395, 'difference': -125, 'noise': 0, 'n': 79, 'shap_error': 0.0002803295952528881, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 790, 'difference': -115, 'noise': 0, 'n': 79, 'shap_error': 0.000583092976889292, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 1580, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 0.00017607322717175022, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 3160, 'difference': -55, 'noise': 0, 'n': 79, 'shap_error': 6.570870459450412e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 6320, 'difference': -110, 'noise': 0, 'n': 79, 'shap_error': 2.1198830108955847e-06, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 12640, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 1.9059433336662548e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 395, 'difference': -121, 'noise': 0, 'n': 79, 'shap_error': 0.016025426031807732, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 790, 'difference': -105, 'noise': 0, 'n': 79, 'shap_error': 0.0014948025840550133, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 1580, 'difference': -73, 'noise': 0, 'n': 79, 'shap_error': 0.001540269718690133, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 3160, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': 0.0009852351363961562, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 6320, 'difference': -18, 'noise': 0, 'n': 79, 'shap_error': 0.0006605135312418418, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 12640, 'difference': -36, 'noise': 0, 'n': 79, 'shap_error': 5.62369393658366e-05, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 395, 'difference': -77, 'noise': 0, 'n': 79, 'shap_error': 0.012314319429841411, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0013416302698905788, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 1580, 'difference': -149, 'noise': 0, 'n': 79, 'shap_error': 0.0026059257939504694, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 3160, 'difference': -139, 'noise': 0, 'n': 79, 'shap_error': 0.0015318411122731668, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 6320, 'difference': -119, 'noise': 0, 'n': 79, 'shap_error': 0.00025542032688435456, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 12640, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': 0.00018168699676524136, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.010059633438268744, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0049324542952187515, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.0036149901183891186, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.002590748308023325, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.00026820177053730565, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 0.00035375137598876456, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.004562906452769814, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0027680258821979435, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.00027431592298094126, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.0002671718298283274, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.0005471088851885709, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 4.146948639969012e-05, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 395, 'difference': -81, 'noise': 0, 'n': 79, 'shap_error': 0.018834209997200452, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 790, 'difference': -5, 'noise': 0, 'n': 79, 'shap_error': 0.012512703256421587, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 1580, 'difference': -10, 'noise': 0, 'n': 79, 'shap_error': 0.0068762374727358855, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 3160, 'difference': -20, 'noise': 0, 'n': 79, 'shap_error': 0.00282383883952387, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 6320, 'difference': -40, 'noise': 0, 'n': 79, 'shap_error': 0.0008258057103579969, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 12640, 'difference': -80, 'noise': 0, 'n': 79, 'shap_error': 0.0005138583901665308, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.003253488729028289, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0016740268714464423, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.0015180124695586515, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.0005223418943021028, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.0013226470278274731, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 0.00016428127039184445, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 395, 'difference': -93, 'noise': 0, 'n': 79, 'shap_error': 0.0018290383547677712, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0005592437913425378, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 1580, 'difference': -70, 'noise': 0, 'n': 79, 'shap_error': 0.0007662047015803444, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 3160, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.00016818460485907015, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 6320, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.00021338920836147664, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 12640, 'difference': -107, 'noise': 0, 'n': 79, 'shap_error': 7.628133849306167e-05, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 395, 'difference': -125, 'noise': 0, 'n': 79, 'shap_error': 0.00019406320915012085, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 790, 'difference': -115, 'noise': 0, 'n': 79, 'shap_error': 3.1047792178967934e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 1580, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 6.411813500673157e-06, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 3160, 'difference': -55, 'noise': 0, 'n': 79, 'shap_error': 4.1080253524947346e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 6320, 'difference': -110, 'noise': 0, 'n': 79, 'shap_error': 2.457724095350267e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 12640, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 1.8849028041727422e-06, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 395, 'difference': -129, 'noise': 0, 'n': 79, 'shap_error': 0.0007476727259790152, 'shap_norm_sq': 252.03554771036144}
{'sample_size': 790, 'difference': -125, 'noise': 0, 'n': 79, 'shap_error': 0.00027799668841875524, 'shap_norm_sq': 252.03554771036144}
{'sample_size': 1580, 'difference': -117, 'noise': 0, 'n': 79, 'shap_error': 0.00016511099368753777, 'shap_norm_sq': 252.03554771036144}
{'sample_size': 3160, 'difference': -101, 'noise': 0, 'n': 79, 'shap_error': 0.00012062992086168759, 'shap_norm_sq': 252.03554771036144}
{'sample_size': 6320, 'difference': -69, 'noise': 0, 'n': 79, 'shap_error': 2.1788738636097655e-05, 'shap_norm_sq': 252.03554771036144}
