{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.919585543537875), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7554448285152651), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.40692163572593854), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.3844543058823692), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05267871104962468), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.002562692957769852), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.007629350095967e-05), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.435164965043058e-06), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.7137233274960955e-08), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.6810412448855334e-08), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.2321875702872217e-08), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9246999995172874), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6158891143255977), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5952992183644132), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.48678682714613014), 'shap_norm_sq': np.float64(14.841196327806758)}
