{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9643742688177803), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8200775783187965), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6412491037091667), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5613372148951717), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.22519473642991805), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04102996498969048), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.003151564361369839), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.630967192185903e-07), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.416120037069475e-06), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(5.329299563877796e-08), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.261501602131553e-14), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8905636962920729), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8901818686335908), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7769736250531404), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.4095400502267562), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.2937692387541551), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.053700160487731324), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0018261501250041346), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.8874131617163885e-12), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.8435730209042244e-12), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.851761920595075e-12), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.855687510844369e-12), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9260209760222788), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9094397999521794), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8843921196343753), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5286298447622348), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.318463979872621), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.053873189446961976), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0026272138732918986), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(9.589325156181872e-06), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(5.453324006990026e-06), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.493286759133154e-06), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.5729277089849056e-13), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.929234710756437), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9615254468691861), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.8803600564090271), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6067563390971746), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.2922383742090065), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04305993592484165), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.005692668546571994), 'shap_norm_sq': np.float64(126.26087639292047)}
