{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6303334359399305), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.13140068784556652), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.02317671169465357), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.004038553642867263), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0017823950125083832), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0009503722135902693), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0005674949966312304), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0001706975570853569), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00019427048345563202), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(7.112839461330236e-05), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.17493177004505367), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.06492012998434683), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.009652088806681114), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0018195036578970794), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0008732211159944158), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0003883511811166023), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.000204837670416695), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.043769511452299e-05), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.456007199768268e-05), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(7.774064744269349e-05), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.3481496508486344), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.09390422941210697), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.024453415487973643), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.01111914199210742), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0030894237859091333), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0037959983846190238), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0017096969257638162), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0008436747071835488), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00029586521532043664), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.498546767616766e-05), 'shap_norm_sq': np.float64(48.28348773089079)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.18056537508023096), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.016239645137687136), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0031076424065585753), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0024756624832249978), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0017296398855647483), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00027721986247139166), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00013116734530490063), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(5.0844583592119525e-05), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.3125478757657888e-05), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.359414472606511e-06), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.527371466243813), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.069284607162001), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.03358536901177812), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.012624051713616522), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.004357373798118601), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0013609645340202743), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0011623525636563269), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0005334590694313869), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0003654157228045193), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0005303986010508309), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.38682458159684807), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 79, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.09632101595492358), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 158, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05251708359711248), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.02771178733061144), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.03649575895987226), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.011389743935015295), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.009146779500308793), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0019289226000776501), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0018756064436896325), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0012431608254227088), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 19, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 39, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.14534656523886702), 'shap_norm_sq': np.float64(175.18114874158692)}
